	raw_input	valid	latency_ms	max_token_limit	used_tokens_out	reason	json_obj
0	"S1) COUNTRY
In which country do you live?  
US only
"	1	18103.71	400	78		{"question_type": "Single choice","question_id": "S1","question_title": "COUNTRY","question_text": "In which country do you live?","entry_condition": "US only","programming_instruction": "","min": "","max": "","response_options": []}
1	"
S2) STATE
In what state do you live?
"	1	17011.72	400	72		{"question_type": "Single choice","question_id": "S2","question_title": "STATE","question_text": "In what state do you live?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": []}
2	"
Balance to census / Create variable xRegion single punch:
Northeast 
Midwest 
West 
South 
"	1	4617.87	400	5	non_question	{}
3	"
S3) GENDER
What is your current gender identity? 
Male
Female
Gender fluid or non-binary
Prefer not to answer
"	1	78652.27	400	283		{"question_type": "Single choice","question_id": "S3","question_title": "GENDER","question_text": "What is your current gender identity?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Male","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Female","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Gender fluid or non-binary","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Prefer not to answer","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
4	"
50/50 male/female split
Create single punch xGender to Female or Male 
Assign Gender Fluid and Prefer not to answer to either Female or Male randomly
"	1	6662.14	400	5	non_question	{}
5	"
S4) AGE
What is your age?
Ages 14-77 
"	1	23777.26	400	76		{"question_type": "Open numeric","question_id": "S4","question_title": "AGE","question_text": "What is your age?","entry_condition": "","programming_instruction": "","min": "14","max": "77","response_options": []}
6	"
Create xAge single punch variables: 
GenZ (14-26)
Millennials (27-42)
GenX (43-58)
Boomers (59-77)
"	1	7834.59	400	5	non_question	{}
7	"
S5) OCCUPATION
Which of the following best describes your industry or occupation?
Do not randomize
Advertising 
Banking
Consumer packaged goods
Education
Food or beverage manufacturer, wholesaler or distributor
Government
Healthcare/Medical
Homemaker
Journalism
Legal Services
Market research 
Exclude Advertising / Public Relations, Marketing, Market Research, 
"	1	393752.46	1400	660		{"question_type": "Single choice","question_id": "S5","question_title": "OCCUPATION","question_text": "Which of the following best describes your industry or occupation?","entry_condition": "Do not randomize","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "Advertising","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Banking","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Consumer packaged goods","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Education","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Food or beverage manufacturer, wholesaler or distributor","response_id": "5","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Government","response_id": "6","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Healthcare/Medical","response_id": "7","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Homemaker","response_id": "8","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Journalism","response_id": "9","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Legal Services","response_id": "10","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "Market research","response_id": "11","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
8	"
S6) TECH SAVVINESS 
When it comes to your attitudes and behaviors towards technology and gadgets, which of the following best describes you?
I am very comfortable using technology and gadgets on my own
I am comfortable using technology and gadgets, but need some assistance
I am not very comfortable using technology and gadgets, and tend to ask for assistance
I am not at all comfortable using technology and gadgets, and always ask for assistance
"	1	153924.29	400	348		{"question_type": "Single choice","question_id": "S6","question_title": "TECH SAVVINESS","question_text": "When it comes to your attitudes and behaviors towards technology and gadgets, which of the following best describes you?","entry_condition": "","programming_instruction": "","min": "","max": "","response_options": [{"response_text": "I am very comfortable using technology and gadgets on my own","response_id": "1","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "I am comfortable using technology and gadgets, but need some assistance","response_id": "2","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "I am not very comfortable using technology and gadgets, and tend to ask for assistance","response_id": "3","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}, {"response_text": "I am not at all comfortable using technology and gadgets, and always ask for assistance","response_id": "4","anchor": "False","other_specify": "False","mutually_exclusive": "False","terminate": "False"}]}
9	"
Survey – Only qualifying respondents from Screener phase participate in this session  
Your responses will be anonymous to our survey sponsor but each of your thoughts will be considered carefully. 
Thanks for your time and your ideas!
"	1	11627.83	400	5	non_question	{}
